wordpress-6.3.1

== Plugins ==
+---------------------------------------------------+-------------+-------------+---------+
| name                                              | old_version | new_version | status  |
| woocommerce-pdf-invoices-packing-slips            | 3.6.2       | 3.6.3       | Updated |
| woocommerce-services                              | 2.3.4       | 2.3.5       | Updated |
| wordfence                                         | 7.10.3      | 7.10.4      | Updated |
| wordpress-seo                                     | 21.0        | 21.2        | Updated |
| wp-event-manager                                  | 3.1.37.1    | 3.1.38      | Updated |
| wp-fastest-cache                                  | 1.1.8       | 1.1.9       | Updated |
| wp-optimize                                       | 3.2.18      | 3.2.19      | Updated |
| wp-statistics                                     | 14.1.6      | 14.1.6.2    | Updated |
| wpdiscuz                                          | 7.6.3       | 7.6.10      | Updated |
| wpforms-lite                                      | 1.8.3.1     | 1.8.4       | Updated |
| yith-woocommerce-wishlist                         | 3.24.0      | 3.25.0      | Updated |
+---------------------------------------------------+-------------+-------------+---------+

== Themes ==
+--------------+-------------+-------------+---------+
| name         | old_version | new_version | status  |
+--------------+-------------+-------------+---------+
| astra        | 4.3.0       | 4.3.1       | Updated |
| blocksy      | 1.9.4       | 1.9.7       | Updated |
| blogus       | 1.0.0.48    | 1.0.0.51    | Updated |
| botiga       | 2.1.1       | 2.1.3       | Updated |
| chromenews   | 4.6.1       | 4.6.4.1     | Updated |
| colormag     | 3.0.5       | 3.0.6       | Updated |
| glowing-blog | 1.0.1       | 1.0.2       | Updated |
| inspiro      | 1.7.12      | 1.7.13      | Updated |
| lightning    | 15.10.6     | 15.12.1     | Updated |
| neve         | 3.6.7       | 3.7.0       | Updated |
| newsmatic    | 1.2.12      | 1.2.14      | Updated |
| newsup       | 3.0.0.103   | 3.0.0.106   | Updated |
| niche-blog   | 0.0.5       | 0.0.6       | Updated |
| ogma-blog    | 1.0.5       | 1.0.8       | Updated |
| storefront   | 4.5.2       | 4.5.3       | Updated |
+--------------+-------------+-------------+---------+
